monotonic_violation_count,monotonic_violation_rate,max_positive_jump,mean_positive_jump,total_positive_jump,curve_has_violation,series,method,block_id,policy,cell_code,input_start_cycle,input_end_cycle
27,0.5510204081632653,0.0048258304595947266,0.0013350226260997549,0.03604561090469338,1,direct_retention,direct_retention,751,5_9C_60PER_3_1C_NEWSTRUCTURE,737285,451,550
17,0.3469387755102041,0.005276739597320557,0.002064080799327164,0.03508937358856179,1,direct_retention,direct_retention,752,5_9C_60PER_3_1C_NEWSTRUCTURE,737285,601,700
20,0.40816326530612246,0.008219659328460582,0.002094161510467524,0.041883230209350475,1,direct_retention,direct_retention,753,5_9C_60PER_3_1C_NEWSTRUCTURE,737285,751,850
21,0.42857142857142855,0.001444697380065918,0.0006092559723627105,0.012794375419616921,1,direct_retention,direct_retention,754,6C-30PER_3_6C,460477,2,101
24,0.4897959183673469,0.0023262500762939453,0.0008173907796541804,0.01961737871170033,1,direct_retention,direct_retention,755,6C-30PER_3_6C,460477,152,251
24,0.4897959183673469,0.0029587745666503906,0.0009483148654301868,0.022759556770324485,1,direct_retention,direct_retention,756,6C-30PER_3_6C,460477,302,401
24,0.4897959183673469,0.0024233460426328346,0.0009200548132260363,0.02208131551742487,1,direct_retention,direct_retention,757,6C-30PER_3_6C,460477,452,551
24,0.4897959183673469,0.004819393157958984,0.0017930790781974931,0.043033897876739835,1,direct_retention,direct_retention,758,6C-30PER_3_6C,460477,602,701
21,0.42857142857142855,0.00779062509536721,0.0021768496150061933,0.04571384191513006,1,direct_retention,direct_retention,759,6C-30PER_3_6C,460477,752,851
21,0.42857142857142855,0.0016329288482663795,0.0006769356273469524,0.014215648174286,1,direct_retention,direct_retention,760,6C-40PER_3C,460630,2,101
23,0.46938775510204084,0.001427292823791615,0.00047399945881059126,0.0109019875526436,1,direct_retention,direct_retention,761,6C-40PER_3C,460630,152,251
23,0.46938775510204084,0.0044081807136535645,0.0012729971305183742,0.029278934001922607,1,direct_retention,direct_retention,762,6C-40PER_3C,460630,302,401
23,0.46938775510204084,0.002483665943145974,0.0005443381226581124,0.012519776821136586,1,direct_retention,direct_retention,763,6C-40PER_3C,460630,452,551
24,0.4897959183673469,0.005817830562591553,0.0015539055069287249,0.037293732166289395,1,direct_retention,direct_retention,764,6C-40PER_3C,460630,602,701
18,0.3673469387755102,0.003664076328277588,0.0018414855003357057,0.0331467390060427,1,direct_retention,direct_retention,765,6C-40PER_3C,460630,752,851
25,0.5102040816326531,0.0012450218200683594,0.0005201482772827015,0.013003706932067538,1,direct_retention,direct_retention,766,6C-40PER_3_6C,460659,2,101
24,0.4897959183673469,0.0010496973991396263,0.0004925827185313092,0.01182198524475142,1,direct_retention,direct_retention,767,6C-40PER_3_6C,460659,152,251
21,0.42857142857142855,0.0027682185173033558,0.001078693639664423,0.02265256643295288,1,direct_retention,direct_retention,768,6C-40PER_3_6C,460659,302,401
19,0.3877551020408163,0.0023409128189088024,0.0010326881157724538,0.019621074199676625,1,direct_retention,direct_retention,769,6C-40PER_3_6C,460659,452,551
21,0.42857142857142855,0.005511999130248912,0.0021084774108160215,0.04427802562713645,1,direct_retention,direct_retention,770,6C-40PER_3_6C,460659,602,701
19,0.3877551020408163,0.0013873577117919922,0.0006172719754670854,0.011728167533874623,1,direct_retention,direct_retention,771,6C-50PER_3C,460644,2,101
24,0.4897959183673469,0.0014840960502625622,0.0005772809187571207,0.013854742050170898,1,direct_retention,direct_retention,772,6C-50PER_3C,460644,152,251
20,0.40816326530612246,0.002060413360595592,0.0010042935609817117,0.020085871219634233,1,direct_retention,direct_retention,773,6C-50PER_3C,460644,302,401
21,0.42857142857142855,0.004776120185852162,0.0017881194750467724,0.03755050897598222,1,direct_retention,direct_retention,774,6C-50PER_3C,460644,452,551
22,0.4489795918367347,0.006242215633392223,0.0020520497452128864,0.045145094394683505,1,direct_retention,direct_retention,775,6C-50PER_3C,460644,602,701
23,0.46938775510204084,0.0069699883460998535,0.002254413521808127,0.051851511001586914,1,direct_retention,direct_retention,776,6C-50PER_3C,460644,752,851
