model_name,n_estimators,train_mse,valid_mse
F0_60cum_plus_policy,41,3.5135095893640727e-05,0.0009967181694181156
F0_60cum_plus_policy,42,3.5336476936570216e-05,0.0010004804309697384
F0_60cum_plus_policy,43,3.507766128171655e-05,0.0009953590871248394
F0_60cum_plus_policy,44,3.479468040136688e-05,0.0009999334335032146
F0_60cum_plus_policy,45,3.448631135810054e-05,0.000987899405478494
F0_60cum_plus_policy,46,3.464537284349937e-05,0.0009961090647585924
F0_60cum_plus_policy,47,3.458081358541281e-05,0.0009941814220660564
F0_60cum_plus_policy,48,3.4625411902153615e-05,0.0009923955531636116
F0_60cum_plus_policy,49,3.4825571103221456e-05,0.0009877047631237559
F0_60cum_plus_policy,50,3.498894432809875e-05,0.000990669620947866
F0_60cum_plus_policy,51,3.4831225781958395e-05,0.0009968423288681991
F0_60cum_plus_policy,52,3.4862231264115164e-05,0.0009998921847529831
F0_60cum_plus_policy,53,3.49552816883655e-05,0.00098579617165927
F0_60cum_plus_policy,54,3.4799801064949864e-05,0.0009826437992190218
F0_60cum_plus_policy,55,3.469316748954947e-05,0.0009818524078338043
F0_60cum_plus_policy,56,3.518638858272071e-05,0.0009797815364806213
F0_60cum_plus_policy,57,3.494487098964823e-05,0.0009755276208948982
F0_60cum_plus_policy,58,3.512010731138133e-05,0.0009705193652212113
F0_60cum_plus_policy,59,3.533027820695329e-05,0.0009714602488059676
F0_60cum_plus_policy,60,3.5522496112605725e-05,0.0009718263693131872
F0_60cum_plus_policy,61,3.564874495405576e-05,0.0009737906685904153
F0_60cum_plus_policy,62,3.541102828026237e-05,0.0009785463059137649
F0_60cum_plus_policy,63,3.553329331066846e-05,0.0009728900225145358
F0_60cum_plus_policy,64,3.543056294609028e-05,0.0009763167274002324
F0_60cum_plus_policy,65,3.525034244113279e-05,0.0009740184693640239
F0_60cum_plus_policy,66,3.560756771536992e-05,0.0009765715415415164
F0_60cum_plus_policy,67,3.593889237493544e-05,0.000987483141253161
F0_60cum_plus_policy,68,3.6114099235929465e-05,0.0009876208589044812
F0_60cum_plus_policy,69,3.624692357753014e-05,0.0009889930801600612
F0_60cum_plus_policy,70,3.6282153602727464e-05,0.0009930931220999055
F0_60cum_plus_policy,71,3.640428960230399e-05,0.0009952958693244154
F0_60cum_plus_policy,72,3.624942047332891e-05,0.0009916202942346437
F0_60cum_plus_policy,73,3.607056177088996e-05,0.0009903821217585795
F0_60cum_plus_policy,74,3.576983825130383e-05,0.0009901102116131688
F0_60cum_plus_policy,75,3.589217843910587e-05,0.000994098610190086
F0_60cum_plus_policy,76,3.566149078471839e-05,0.000991381043641358
F0_60cum_plus_policy,77,3.5650723732710656e-05,0.000988167778890832
F0_60cum_plus_policy,78,3.585410957315566e-05,0.000988817534849814
F0_60cum_plus_policy,79,3.575889047118546e-05,0.0009845916646301794
F0_60cum_plus_policy,80,3.57660554848789e-05,0.0009845200701106506
F0_60cum_plus_policy,81,3.5702380914966166e-05,0.0009899059428041602
F0_60cum_plus_policy,82,3.562030114455542e-05,0.00099098278115023
F0_60cum_plus_policy,83,3.5664470539737466e-05,0.0009899950413562923
F0_60cum_plus_policy,84,3.558158400425689e-05,0.0009900632646705325
F0_60cum_plus_policy,85,3.54959143793216e-05,0.000990270732471451
F0_60cum_plus_policy,86,3.5629537989451627e-05,0.0009868072882348743
F0_60cum_plus_policy,87,3.5673845524694986e-05,0.000985615162725125
F0_60cum_plus_policy,88,3.56273188908084e-05,0.0009846416419152912
F0_60cum_plus_policy,89,3.5628582911004796e-05,0.000984323286313011
F0_60cum_plus_policy,90,3.5736713457862936e-05,0.000985688796115546
F0_60cum_plus_policy,91,3.57496436543967e-05,0.0009835454284925266
F0_60cum_plus_policy,92,3.566108891920411e-05,0.000983542493753069
F0_60cum_plus_policy,93,3.566995118397476e-05,0.0009854375217363176
F0_60cum_plus_policy,94,3.558082725954215e-05,0.0009884323035821074
F0_60cum_plus_policy,95,3.5770028196284044e-05,0.0009898186337212289
F0_60cum_plus_policy,96,3.584843343911728e-05,0.0009929413967998144
F0_60cum_plus_policy,97,3.588731880193839e-05,0.0009914366602728456
F0_60cum_plus_policy,98,3.566544544423049e-05,0.0009921570845220881
F0_60cum_plus_policy,99,3.5838729649821206e-05,0.0009903980474506976
F0_60cum_plus_policy,100,3.570645811777924e-05,0.0009889061053005939
F1_F0_plus_cycles,1,1.3767967508642774e-05,0.0019194728196056884
F1_F0_plus_cycles,2,8.609808029022954e-06,0.0011510818411282458
F1_F0_plus_cycles,3,7.008629935573163e-06,0.000973727140852514
F1_F0_plus_cycles,4,6.19977085852187e-06,0.0009630576049245942
F1_F0_plus_cycles,5,5.767722424158351e-06,0.0009477063631011627
F1_F0_plus_cycles,6,5.4799192726931926e-06,0.0009342962368106869
F1_F0_plus_cycles,7,5.2610756457839425e-06,0.0009008905454058447
F1_F0_plus_cycles,8,5.0773634685345505e-06,0.0008885521664499861
F1_F0_plus_cycles,9,4.991461609570525e-06,0.0009400235381640075
F1_F0_plus_cycles,10,4.876319141662047e-06,0.0009323583556461858
F1_F0_plus_cycles,11,4.829614599851195e-06,0.0009233916502006103
F1_F0_plus_cycles,12,4.7595239432747504e-06,0.00092408096283005
F1_F0_plus_cycles,13,4.7026582014566645e-06,0.0008854032444652412
F1_F0_plus_cycles,14,4.629834563761699e-06,0.00087747534214677
F1_F0_plus_cycles,15,4.587853746770685e-06,0.0008641423527981299
F1_F0_plus_cycles,16,4.5309861909412785e-06,0.0008526062944778189
