feature_pack,stage,trial_id,n_estimators,max_depth,min_samples_leaf,min_samples_split,max_features,bootstrap,max_samples,criterion,tune_train_r2,tune_valid_r2,tune_valid_mse,tune_train_rows,tune_valid_rows,trial_error
F2_F1_plus_60inc_plus_stats,B_refine,55,240,16,5,8,sqrt,True,0.65,friedman_mse,0.9970886831803314,0.8594395468514039,0.0003987660513293757,15581.0,4603.0,
F2_F1_plus_60inc_plus_stats,A_coarse,13,160,18,6,12,0.25,True,0.65,friedman_mse,0.9977676548840304,0.8573895681968027,0.00043071366381721023,16052.0,4132.0,
F2_F1_plus_60inc_plus_stats,A_coarse,33,120,14,3,12,0.25,True,0.75,squared_error,0.9985946087659606,0.8543863011670156,0.00045338455795825765,16411.0,3773.0,
F2_F1_plus_60inc_plus_stats,A_coarse,25,240,22,4,4,0.25,True,0.75,friedman_mse,0.9984784392973839,0.8513421548622534,0.0003467580984739826,15438.0,4746.0,
F2_F1_plus_60inc_plus_stats,B_refine,43,140,14,4,4,sqrt,False,,friedman_mse,0.9982438147481693,0.8482572109947646,0.00038176551363928746,14973.0,5211.0,
F2_F1_plus_60inc_plus_stats,A_coarse,2,240,22,2,6,sqrt,True,0.95,squared_error,0.9989594002875469,0.8469717435613519,0.0006273814566427069,17590.0,2594.0,
F2_F1_plus_60inc_plus_stats,A_coarse,29,240,22,6,6,0.35,False,,squared_error,0.998762526104754,0.8455671975452563,0.0006182800479403906,16910.0,3274.0,
F2_F1_plus_60inc_plus_stats,B_refine,48,260,12,6,4,0.55,False,,friedman_mse,0.9987248374743389,0.83883887753021,0.0004409988825800954,15110.0,5074.0,
F2_F1_plus_60inc_plus_stats,A_coarse,37,240,22,3,6,0.45,False,,squared_error,0.9994281261866378,0.8380357793389098,0.000404227860375771,14183.0,6001.0,
F2_F1_plus_60inc_plus_stats,A_coarse,16,120,26,3,4,0.45,False,,squared_error,0.9994435495376061,0.8366163498844679,0.0005362470536829964,16310.0,3874.0,
F2_F1_plus_60inc_plus_stats,A_coarse,21,240,26,2,12,0.25,False,,squared_error,0.9993102859441213,0.8336904012369979,0.0004640637750576455,15942.0,4242.0,
F2_F1_plus_60inc_plus_stats,B_refine,57,140,18,5,8,sqrt,False,,friedman_mse,0.9988356306795783,0.8332136122028291,0.00047268772044025147,16030.0,4154.0,
F2_F1_plus_60inc_plus_stats,B_refine,54,200,14,6,6,0.35,False,,squared_error,0.9986839946580542,0.8291179811456869,0.0005158197283662999,16606.0,3578.0,
F2_F1_plus_60inc_plus_stats,A_coarse,8,120,14,3,6,0.45,False,,friedman_mse,0.9990784605082512,0.8266133926079702,0.0004250369290940876,15003.0,5181.0,
F2_F1_plus_60inc_plus_stats,A_coarse,24,200,22,4,6,0.45,False,,squared_error,0.9992952643345286,0.823597107738768,0.000536426629905911,16080.0,4104.0,
