policy,n_rows,mae,rmse,r2,mape,feature_group
3_7C_31PER_5_9C_NEWSTRUCTURE,87,0.013894392426102057,0.02127625834294599,0.7572812164016933,0.014330858953062497,combined_charge_plus_policy
4C-80PER_4C,269,0.016859666196047958,0.023048446536909815,-0.9982079505883725,0.015860078407012142,combined_charge_plus_policy
4_65C_44PER_5C,137,0.03416587390763497,0.045782778021710095,0.36354830898984536,0.032459886518130546,combined_charge_plus_policy
4_65C_69PER_6C,126,0.042885118281682726,0.05232629295232831,0.23434166246073185,0.04103465193303658,combined_charge_plus_policy
4_8C-80PER_4_8C,158,0.039818396518536456,0.05455301061973991,-0.023043893955529082,0.038855214319692084,combined_charge_plus_policy
4_8C_80PER_4_8C,229,0.035792923447366586,0.05217722463587691,-0.059321486379369404,0.03402173484338056,combined_charge_plus_policy
4_8C_80PER_4_8C_NEWSTRUCTURE,532,0.026531816942557265,0.0370341793280421,-0.0464373422075437,0.02576318991001353,combined_charge_plus_policy
5C_67PER_4C_NEWSTRUCTURE,250,0.014784063938042574,0.02312692104535006,0.6288254407284543,0.014427111308549059,combined_charge_plus_policy
5_2C_50PER_4_25C,120,0.026245282236144654,0.036843364742889774,0.5629937349194106,0.024978305896371265,combined_charge_plus_policy
5_2C_58PER_4C,135,0.028979440955774618,0.041008929458918625,0.06508245911382005,0.02722377136600202,combined_charge_plus_policy
5_2C_58PER_4C_NEWSTRUCTURE,198,0.027608822263263697,0.04639997037953968,0.4167917306038552,0.027535610438692026,combined_charge_plus_policy
5_3C_54PER_4C_NEWSTRUCTURE,323,0.02443322104978608,0.035454447526207765,0.3882306465404517,0.024720452865913324,combined_charge_plus_policy
5_4C-40PER_3_6C,128,0.019451145618841002,0.03123161716965251,0.6478234510542683,0.01965006032929239,combined_charge_plus_policy
5_4C-50PER_3C,123,0.030968956031792356,0.03572606581133901,-0.008997114514883942,0.029631235947747452,combined_charge_plus_policy
5_4C-50PER_3_6C,123,0.024442014327698876,0.03659458950397225,0.31502805911767107,0.02466020512735101,combined_charge_plus_policy
5_4C-60PER_3C,165,0.02010924709698085,0.029118909182184554,0.6519454715838106,0.01982355102807931,combined_charge_plus_policy
5_4C-60PER_3_6C,191,0.017902526400974804,0.02730002656902505,0.6283615436680074,0.017645755586031563,combined_charge_plus_policy
5_4C-70PER_3C,169,0.04464616341330351,0.053744300756260965,0.0016855104758596307,0.04356640266738298,combined_charge_plus_policy
5_4C-80PER_5_4C,97,0.03652511817602381,0.04479018168131689,-0.19610042515924642,0.035672049864047616,combined_charge_plus_policy
5_6C_19PER_4_6C_NEWSTRUCTURE,300,0.04030579769603357,0.05764589500205569,-0.7639667106106596,0.03966238075562048,combined_charge_plus_policy
5_6C_26PER_4_5C,61,0.04544385575245029,0.05863226236851312,-0.017748899316851086,0.04355908220811407,combined_charge_plus_policy
5_6C_26PER_4_5C_NEWSTRUCTURE,159,0.06288945553033459,0.08097088106912843,-0.36544407862143413,0.061947425727051246,combined_charge_plus_policy
5_6C_36PER_4_3C_NEWSTRUCTURE,325,0.024644131291677775,0.03831929414828242,0.32663652724323167,0.024645309011908065,combined_charge_plus_policy
5_9C_15PER_4_6C_NEWSTRUCTURE,138,0.023346769449406418,0.031729168171742206,0.5214082219811962,0.023005299050784207,combined_charge_plus_policy
5_9C_60PER_3_1C_NEWSTRUCTURE,167,0.024208363987990467,0.03220152610014251,0.11947583238061721,0.023939955134053493,combined_charge_plus_policy
6C-30PER_3_6C,182,0.019847430390704517,0.034273231552957036,0.4857894074148553,0.02012942087075981,combined_charge_plus_policy
6C-40PER_3C,172,0.01644852412037236,0.024996913604798277,0.6522219987820583,0.016165290478290496,combined_charge_plus_policy
6C-40PER_3_6C,132,0.02903911633487269,0.04227723580712385,0.41705061904835383,0.029377488954616816,combined_charge_plus_policy
6C-50PER_3C,176,0.018582380680594666,0.02728161647527758,0.6363329307022696,0.018348324040008204,combined_charge_plus_policy
6C-50PER_3_6C,156,0.03262768117711178,0.041885142052652945,0.22238998431021528,0.03149100737622327,combined_charge_plus_policy
