cycles,n_points_window,n_points_dqdv,peak_count_current,peak_count_balanced,peak1_abs_height_current,peak1_abs_height_balanced,peak1_voltage_drift_v,roughness_current,roughness_balanced
501,236,168,1,1,6.3998195798617,6.244716935097686,-0.00394249999999996,0.08705200063873526,0.012163726323117007
502,224,169,1,1,6.416727026043622,6.2514364758376235,0.0010023499999998187,0.0707723292919364,0.009790247755685332
503,227,172,1,1,6.377451761445287,6.222581002384734,0.0,0.08177073408773514,0.011623359523397688
504,233,170,1,1,6.260971537542728,6.186162926912995,-0.0009961000000000553,0.07056053544837089,0.010704928482546896
505,237,170,1,1,6.4115714493704745,6.211626461941563,0.0,0.07818066447936027,0.01127941443637558
506,236,173,1,1,6.372038785872281,6.290873454143724,0.0,0.08736881857922861,0.011025282045743014
507,231,173,1,1,6.560883734301863,6.462531341306985,0.0,0.10157087304562382,0.01190664473865475
508,231,173,1,1,6.438444422730942,6.262673695264957,-0.0038448000000004257,0.10347289500849158,0.011951706469604183
509,227,172,1,1,6.5752190306366,6.338085387430756,0.0,0.08459012719126396,0.011665283394668947
510,235,172,1,1,6.373925486650706,6.206699151273957,0.0,0.08928197301832869,0.011119746762910346
511,239,171,1,1,6.425112641599951,6.351926483176246,0.0020260500000004456,0.10232838077967406,0.012922608939634614
512,227,171,1,1,6.387429027868605,6.275362759735268,0.0010366500000000833,0.07879566975667877,0.009810141019224802
513,217,169,1,1,6.442233001132827,6.257082680450729,0.0,0.08366438034798922,0.01097443096325001
514,232,169,1,1,6.232328208478286,6.173520672831591,0.0010466499999997048,0.07803886112285056,0.010366501689805746
515,225,167,1,1,6.22821228580081,6.177302046667474,0.0018953999999999915,0.07343609325870547,0.010164475818384254
516,230,165,2,1,7.713702253580811,7.131750487385476,-0.0007934500000001954,0.10600626939902691,0.015623995478049615
517,227,163,1,1,6.0849922851717935,6.008360270647417,0.0,0.07041404080731518,0.008552475853487767
518,210,160,1,1,6.265312758992767,6.113826060114935,0.0,0.07114079230411867,0.00927291764370274
519,205,157,1,1,6.080069425324611,6.030540255654919,-0.0021209500000001213,0.061733781219339146,0.008492288934784499
520,224,162,1,1,6.391857775919781,6.228815570225041,0.0,0.07426815827225469,0.010491633194035357
521,218,160,1,1,6.0534709000364835,5.95912887236979,0.0010462000000002192,0.06816699039539377,0.009142893622091235
522,226,166,1,1,6.331181656891088,6.117873827236323,0.00924114999999981,0.09448528961696039,0.009881107734644982
523,223,165,1,1,6.109722369287246,6.034530681943409,0.004081249999999592,0.07864419473014321,0.00994415509863396
524,226,165,1,1,6.200859312668529,6.101672093766056,0.0010109000000002588,0.06625760113218923,0.009450294954135454
525,235,168,1,1,6.284841224305161,6.146885558682966,0.0020851999999997872,0.09727396750345632,0.011191664387867735
526,217,168,1,1,6.232460264395055,6.162653202610208,0.0,0.08336367597792298,0.009307668817909025
527,213,167,1,1,6.317994557592087,6.178709054421962,0.003967750000000159,0.07629992073325567,0.01001688480762126
528,218,167,1,1,6.242632408818999,6.161716288486916,-0.0020194000000000045,0.0938850341097505,0.010605325207699407
529,219,164,1,1,6.667179614565201,6.389554835116732,0.0,0.08541454146345046,0.011552480759941773
530,218,166,1,1,6.270217157147563,6.130011957942541,-0.002974000000000032,0.0941097714649368,0.01042356620006804
531,218,167,1,1,6.276139929375037,6.13989568138655,-0.004016399999999809,0.0949701518512346,0.01196391170860932
532,233,168,1,1,6.399554553809789,6.219729790020136,-0.000902149999999935,0.10018645081903502,0.010049542952515991
533,227,169,1,1,6.160803217805276,6.072977488296425,0.0010609499999998384,0.06032167552218039,0.009216176047687225
534,229,168,1,1,6.236134218801878,6.072609831402498,0.001046199999999775,0.06638626887239243,0.008996835999745068
535,230,166,1,1,6.18101918993941,6.074974860309139,0.0,0.06140147958957758,0.009092699151787956
536,237,167,1,1,6.302524659651606,6.114268604903977,-0.0009885000000000588,0.0833360318936127,0.009552862698730819
537,238,166,1,1,6.359690586497909,6.112929091552896,0.0,0.08617246630899579,0.011021322367421559
538,231,169,1,1,6.175212481050254,6.099723183645986,0.0029415999999997666,0.0812523777587659,0.010474780533631302
539,224,165,1,1,7.297304573710051,6.8895344555260625,0.0,0.09282218775699176,0.01594911008837011
540,229,165,1,1,6.09999139271265,6.010736017814574,0.0,0.06182148209099182,0.008963533189999179
541,220,165,1,1,6.173210190050108,6.129184139338973,0.0,0.05755520137492717,0.008523635941916546
542,228,164,1,1,6.2150931381258525,6.151025251173101,-0.0019474499999998507,0.08198296876327249,0.011098442950611088
543,209,165,1,1,6.289421871454545,6.142104238260251,0.0009245999999998311,0.10590275873366627,0.011381402734950238
544,221,165,1,1,6.134640950586455,6.086269182553328,0.0,0.09395285940782695,0.01094593376038885
545,227,166,1,1,6.507388164630093,6.3421420726199385,0.0018386999999995268,0.08616204828936837,0.01192778972076384
546,228,166,1,1,6.078869282678683,6.015562747500982,-0.004059349999999462,0.07052083885712102,0.009489381109620457
547,233,167,1,1,6.235506205357048,6.079653516758221,0.0,0.0799361476000723,0.010694214655867593
548,229,166,1,1,6.107155920703605,6.0385986387159125,0.0,0.0752387313666935,0.01005089164778124
549,229,167,1,1,6.108039186408034,6.039695614654943,-0.000983249999999991,0.08414612651949631,0.009954588858606622
550,223,165,1,1,6.269821083639753,6.125383274645918,0.0,0.0801410217535598,0.010502953769914784
551,237,164,1,1,6.176657883366797,6.067341964346726,0.0010175500000002557,0.08908278786490365,0.01080325327467137
