cross_bin,cross_label,soc_bin,rate_bin,temp_bin,cap_effect_per_1pp,cap_ci_low,cap_ci_high,cap_p_value,cap_q_value,cap_n_rows,cap_n_groups,cap_support_width_1_99,ir_effect_per_1pp,ir_ci_low,ir_ci_high,ir_p_value,ir_q_value,ir_n_rows,ir_n_groups,ir_support_width_1_99,risk_category,cap_significant_positive,ir_significant_positive,cap_ci_cross_zero,ir_ci_cross_zero,effect_rank_capacity,effect_rank_ir,max_abs_effect_per_1pp
52,s3_r3_t2,3,3,2,-0.0125078599354316,-0.0333272839888623,0.0215994593499921,0.355,0.5138157894736842,98893,173,0.0,-0.0226644971015119,-0.0488138345371268,0.0412886589068884,0.345,0.5128378378378378,98893,173,0.0,uncertain,False,False,True,True,50,50,0.0226644971015119
55,s3_r3_t5,3,3,5,0.0045217742260478,-0.0096724369474999,0.0447261412149964,0.45,0.5892857142857143,98893,173,0.0,0.0101723605555322,-0.0060957775215881,0.0546536342898583,0.21,0.3725806451612903,98893,173,0.0,uncertain,False,False,True,True,7,6,0.0101723605555322
54,s3_r3_t4,3,3,4,0.0079898255602893,-0.001805186004813,0.0227697927983379,0.12,0.2444444444444444,98893,173,0.0051854509860278,0.0096833787642587,-0.000796985128477,0.0369715342612239,0.085,0.2125,98893,173,0.0051854509860278,uncertain,False,False,True,True,6,7,0.0096833787642587
53,s3_r3_t3,3,3,3,-0.0023402735912742,-0.0267399633429285,0.0161184974164844,0.82,0.8843137254901959,98893,173,0.0,0.0048706166315493,-0.0261976602631538,0.0285529054200199,0.76,0.8642857142857143,98893,173,0.0,uncertain,False,False,True,True,45,8,0.0048706166315493
13,s1_r3_t3,1,3,3,-0.0035722524957007,-0.0060315170144445,-0.0017375339458634,0.0,0.0,98893,173,0.0525256131589412,-0.0022861856768402,-0.0053053296975409,0.0003476065420822,0.11,0.2326923076923077,98893,173,0.0525256131589412,uncertain,False,False,False,True,49,47,0.0035722524957007
25,s2_r1_t5,2,1,5,-0.001753853149774,-0.0222252888538617,-0.0009800431779049,0.005,0.0229166666666666,98893,173,0.0020070704817771,-0.0035555280757524,-0.0365113279940007,-0.0019786750105956,0.01,0.0423076923076923,98893,173,0.0020070704817771,uncertain,False,False,False,False,44,49,0.0035555280757524
12,s1_r3_t2,1,3,2,-0.0032611484113394,-0.0051285851917324,-0.0010451399076511,0.005,0.0229166666666666,98893,173,0.0544128939509391,-0.0019597373707266,-0.0048679320889868,0.0011151065412759,0.195,0.3575,98893,173,0.0544128939509391,uncertain,False,False,False,True,47,44,0.0032611484113394
15,s1_r3_t5,1,3,5,-0.0029304053316678,-0.0053195925986253,-0.0007328732884831,0.005,0.0229166666666666,98893,173,0.0525255613029003,-0.0020941498664334,-0.0045459252227899,0.000184391845059,0.065,0.1925,98893,173,0.0525255613029003,uncertain,False,False,False,True,46,45,0.0029304053316678
11,s1_r3_t1,1,3,1,-0.0016992428330356,-0.0043878526079811,0.0006194795298656,0.22,0.3558823529411765,98893,173,0.0498239509761333,-0.0026459400968964,-0.0062076529711845,0.0010023809855647,0.15,0.2946428571428571,98893,173,0.0498239509761333,uncertain,False,False,True,True,41,48,0.0026459400968964
23,s2_r1_t3,2,1,3,0.0019691921080266,-0.0072852129970174,0.0050059868680067,0.485,0.5918478260869565,98893,173,0.0036158519797027,0.0024789919373482,-0.011195585044574,0.0067523085037683,0.595,0.74375,98893,173,0.0036158519797027,uncertain,False,False,True,True,11,12,0.0024789919373482
30,s2_r2_t5,2,2,5,-0.0017257070876935,-0.0024316587496094,-0.0010186594235618,0.0,0.0,98893,173,0.1710815131664276,-0.0022252623840891,-0.003037826280774,-0.0014803765195261,0.0,0.0,98893,173,0.1710815131664276,uncertain,False,False,False,False,42,46,0.0022252623840891
14,s1_r3_t4,1,3,4,-0.0017329653622558,-0.0042702497553125,0.0003002603198279,0.135,0.2475,98893,173,0.0499041825532913,-0.0016788123529265,-0.0035789633251247,0.0003537067655352,0.095,0.22,98893,173,0.0499041825532913,uncertain,False,False,True,True,43,43,0.0017329653622558
20,s1_r4_t5,1,4,5,-0.000866888198784,-0.0027083566075016,0.0008231121982275,0.35,0.5138157894736842,98893,173,0.0605308525264263,-0.001615490638254,-0.0034583479963945,0.0001648740334247,0.07,0.1925,98893,173,0.0605308525264263,uncertain,False,False,True,True,40,42,0.001615490638254
21,s2_r1_t1,2,1,1,0.0006739438171111,-0.0004283117118407,0.0038211496476655,0.33,0.5041666666666668,98893,173,0.0033215968869626,-0.0009900205521279,-0.0030826805543705,0.0051556334651769,0.835,0.8831730769230769,98893,173,0.0033215968869626,uncertain,False,False,True,True,15,41,0.0009900205521279
19,s1_r4_t4,1,4,4,-0.0001575354144026,-0.0017785218126446,0.0012643404329904,0.82,0.8843137254901959,98893,173,0.05197099968791,-0.0009805920713688,-0.0029069600989824,0.0009391464645456,0.315,0.495,98893,173,0.05197099968791,uncertain,False,False,True,True,31,40,0.0009805920713688
