n_estimators,min_samples_split,min_samples_leaf,max_samples,max_features,max_depth,criterion,bootstrap,random_state,n_jobs,train_r2,valid_r2,train_rmse,valid_rmse,train_mae,valid_mae,gap
600,10,6,,sqrt,18.0,squared_error,True,20260318,1,0.6738463551639776,0.49674689350457424,0.029280359821258664,0.03497262839773668,0.019019206793311014,0.0254914267534041,0.17709946165940338
1000,2,6,0.6,0.3,14.0,squared_error,True,20260318,1,0.6467748167450866,0.4954982172579976,0.030471309673465688,0.035015988721861506,0.01968764192657748,0.025433237131029462,0.15127659948708905
800,2,8,0.6,1.0,24.0,squared_error,True,20260318,1,0.6798189914278809,0.49509621794022274,0.02901102514257009,0.03502993674055053,0.018539733158537606,0.024961313350483575,0.1847227734876582
300,40,6,,0.5,28.0,squared_error,True,20260318,1,0.6748306680285726,0.494451057033754,0.02923614321776814,0.03505231004379917,0.019022777680511815,0.025082765481339267,0.18037961099481858
300,40,6,0.75,0.8,20.0,squared_error,True,20260318,1,0.6503831196005943,0.4931136472530654,0.03031527330516621,0.035098644171826426,0.019840046487623934,0.025106582534980264,0.15726947234752886
500,40,3,0.6,0.8,14.0,squared_error,True,20260318,1,0.6223330364972023,0.4926941723594206,0.031507924020520425,0.03511316414775239,0.020874412709615424,0.02532422002306182,0.1296388641377817
800,20,8,0.6,0.5,24.0,squared_error,True,20260318,1,0.659769131037425,0.4925682735574143,0.029905574406063947,0.03511752091917198,0.0192968061444748,0.025163649175190338,0.16720085748001068
600,40,6,0.6,1.0,24.0,squared_error,True,20260318,1,0.6380283810448255,0.4919461527807746,0.030846262592297023,0.03513904169333722,0.020248618890150453,0.02515216943079537,0.14608222826405093
500,40,8,0.85,0.6,20.0,squared_error,True,20260318,1,0.6457570416155038,0.49149563536632723,0.03051517777057385,0.03515461803663922,0.0199280231724691,0.02524986685900126,0.1542614062491766
1000,10,6,0.75,sqrt,20.0,squared_error,True,20260318,1,0.6614070460183278,0.4907142491371962,0.02983350292829585,0.035181617598334554,0.019481519998010836,0.025666653044076858,0.1706927968811316
400,40,4,0.85,0.8,12.0,squared_error,True,20260318,1,0.6185028594778996,0.4905899474044194,0.031667292595401395,0.03518591073751616,0.020804855239376127,0.025398360675255468,0.1279129120734802
600,10,6,0.6,0.2,16.0,squared_error,True,20260318,1,0.6448091624837029,0.4903812728557849,0.030555976573032217,0.03519311677145981,0.019886459492687743,0.025638910283456887,0.15442788962791798
500,40,4,0.6,0.4,16.0,squared_error,True,20260318,1,0.6224418451624132,0.49034481137834285,0.031503384859757934,0.035194375722528266,0.02088184239213362,0.0254881521095112,0.13209703378407034
300,5,8,0.6,0.4,28.0,squared_error,True,20260318,1,0.6646781555603591,0.4898411984879911,0.029689044074772068,0.03521175999064469,0.019151205800917684,0.025296579737887837,0.17483695707236802
500,5,8,0.6,0.3,12.0,squared_error,True,20260318,1,0.6070958477582251,0.48424648178513685,0.03213724180817191,0.03540431048388955,0.021015046267892162,0.02579174618934582,0.12284936597308826
